#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## alpha: "alpha" in the cutoff power-law model (equation below).
## alpha_low: The lower limit of "alpha" (90% confidence region).
## alpha_hi: The upper limit of "alpha" (90% confidence region).
## norm: The normalization factor in the cutoff power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## Epeak: "Epeak" in the cutoff power-law model (equation below).
## Epeak_low: The lower limit of "Epeak" (90% confidence region).
## Epeak_hi: The upper limit of "Epeak" (90% confidence region).
## norm: The normalization factor in the cutoff power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## norm_low: The lower limit of "norm" (90% confidence region). 
## norm_hi: The upper limit of "norm" (90% confidence region).
## chi2: chi^2 from the fitting, reported by XSPEC.
## reduced_chi2: reduced chi^2 reported by XSPEC.
## null_prob: The null probability of the model, reported by XSPEC.
## enrom: The normalization energy in the cutoff power-law model (eaution below). "enorm" is set to 50 keV in all analyses.
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## Note -- Cutoff power-law (CPL) equation: f = norm*((E/enorm)^{alpha})*(exp(-E(2+alpha)/Epeak))
#####################################################################################
#####################################################################################
GRBname | Trig_ID | alpha | alpha_low | alpha_hi | Epeak | Epeak_low | Epeak_hi | norm | norm_low | norm_hi | chi2 | dof | reduced_chi2 | null_prob | enorm | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB191106A   |    933515    | -5.947980e-01 | -9.809170e-01 | 1.638330e-01 | 2.633380e+02 | 0.000000e+00 | 0.000000e+00 | 1.038240e-02 | 6.991470e-03 | 2.188360e-02 | 44.42 | 56 | 0.7933 | 8.677069e-01 | 50.0000 | 3.736 | -1.356000 | 2.380000 |  
GRB191101A   |    932742    | -1.441170e+00 | -1.898520e+00 | -6.376010e-01 | 8.964490e+01 | 2.361920e+01 | 0.000000e+00 | 1.752810e-03 | 1.102120e-03 | 4.653820e-03 | 44.29 | 56 | 0.7910 | 8.707625e-01 | 50.0000 | 164.7 | -21.244000 | 143.504000 |  
GRB191031D   |    932608    | -7.391110e-01 | -9.572790e-01 | -4.059710e-01 | 9.721370e+02 | 0.000000e+00 | 0.000000e+00 | 1.113180e-01 | 9.474500e-02 | 1.475710e-01 | 59.93 | 56 | 1.070 | 3.352660e-01 | 50.0000 | 0.34 | -0.032000 | 0.308000 |  
GRB191031C   |    932595    | -1.323700e+00 | -1.587220e+00 | -1.040190e+00 | 1.465240e+02 | 9.427530e+01 | 0.000000e+00 | 9.278410e-03 | 7.002550e-03 | 1.261650e-02 | 49.26 | 56 | 0.8796 | 7.259644e-01 | 50.0000 | 104.5 | -37.984000 | 66.492000 |  
GRB191031A   |    932435    | -6.217160e-01 | -1.238090e+00 | 1.038160e-01 | 1.292030e+02 | 8.327970e+01 | 0.000000e+00 | 9.717740e-03 | 5.051500e-03 | 2.096080e-02 | 52.79 | 56 | 0.9427 | 5.970163e-01 | 50.0000 | 14.86 | -6.264000 | 8.596000 |  
GRB191029A   |    932058    | -1.266130e+00 | -2.110850e+00 | -3.393460e-01 | 6.402140e+01 | N/A | N/A | 5.048710e-03 | N/A | N/A | 49.73 | 56 | 0.8880 | 7.098202e-01 | 50.0000 | 46 | -4.000000 | 42.000000 |  
GRB191024A   |    931242    | -1.430960e+00 | -1.916550e+00 | -7.719910e-01 | 7.083660e+01 | 4.867270e+01 | 0.000000e+00 | 9.523510e-03 | 5.651620e-03 | 2.220660e-02 | 71.82 | 56 | 1.282 | 7.564142e-02 | 50.0000 | 8.404 | -0.956000 | 7.448000 |  
GRB191019A   |    930285    | -1.985870e+00 | -0.000000e+00 | -1.799380e+00 | 2.546510e+00 | 9.777200e-01 | 1.500240e+00 | 1.761800e-02 | 1.663860e-02 | 1.848780e-02 | 54.55 | 56 | 0.9740 | 5.300731e-01 | 50.0000 | 85.15 | -0.828000 | 84.320000 |  
GRB191017B   |    929981    | -1.410990e+00 | -2.109440e+00 | -2.840500e-01 | 5.857530e+01 | N/A | N/A | 1.831540e-02 | N/A | N/A | 57.52 | 56 | 1.027 | 4.188452e-01 | 50.0000 | 5.016 | -1.300000 | 3.716000 |  
GRB191016A   |    929744    | -1.448730e+00 | -1.669280e+00 | -1.166560e+00 | 1.480070e+02 | 8.786750e+01 | 0.000000e+00 | 4.672690e-03 | 3.683200e-03 | 6.387170e-03 | 38.27 | 56 | 0.6835 | 9.662955e-01 | 50.0000 | 161.6 | -42.828000 | 118.816000 |  
GRB191011A   |    928924    | -1.889660e+00 | -2.245090e+00 | -1.192260e+00 | 1.120480e+02 | N/A | N/A | 4.732060e-03 | N/A | N/A | 52.21 | 56 | 0.9323 | 6.190453e-01 | 50.0000 | 8.172 | -0.212000 | 7.960000 |  
GRB191004B   |    927839    | -1.007050e+00 | -1.229950e+00 | -4.052890e-01 | 5.936280e+02 | 0.000000e+00 | 0.000000e+00 | 8.223870e-04 | 6.984230e-04 | 1.517290e-03 | 54.79 | 56 | 0.9784 | 5.207612e-01 | 50.0000 | 384.2 | -1.452000 | 382.784000 |  
GRB191004A   |    927825    | -1.047670e+00 | -1.370410e+00 | -7.066380e-01 | 1.740700e+02 | 1.099100e+02 | 0.000000e+00 | 6.685340e-02 | 4.795520e-02 | 9.528050e-02 | 53.78 | 56 | 0.9604 | 5.593723e-01 | 50.0000 | 2.668 | -0.092000 | 2.576000 |  
